Date,Name,Counter_No,Counter_No_Service_Rating,Feedback Description,Sentiment
26-03-2024 12:39,Krish Saini,Counter_4,0,I wish the post office had more counters open during peak hours.,Positive
27-03-2024 03:15,Dharmajan Das,Counter_1,4,The staff were knowledgeable and efficient in helping me.,Neutral
27-03-2024 06:45,Ishaan Sarin,Counter_1,5,There was no clear signage to guide me inside.,Negative
27-03-2024 16:57,Abram Bhavsar,Counter_3,0,The queue system was well-organized and easy to follow.,Positive
28-03-2024 05:16,Zeeshan Sunder,Counter_4,5,The office was too cold for comfort during my visit.,Negative
28-03-2024 07:59,Shray Taneja,Counter_1,4,The staff handled my issue with great care and attention.,Positive
28-03-2024 20:33,Biju Sant,Counter_2,4,I had difficulty understanding the online services.,Neutral
29-03-2024 06:24,Saira Saran,Counter_3,3,The transaction was completed swiftly with no delays.,Neutral
02-04-2024 20:46,Jayesh Shan,Counter_1,2,I wasn�t able to send my package because the staff wasn�t available.,Positive
02-04-2024 23:51,Ojas Kibe,Counter_1,2,The waiting area was clean but lacked seating options.,Positive
03-04-2024 10:12,Kaira Dani,Counter_3,2,I encountered some technical issues while trying to send money.,Neutral
03-04-2024 22:18,Ryan Sastry,Counter_4,0,The staff was efficient but could have been friendlier.,Neutral
04-04-2024 12:06,Ehsaan Mammen,Counter_1,4,I appreciate the new digital systems that make my visits faster.,Positive
06-04-2024 06:04,Jiya Sawhney,Counter_3,3,I had an unpleasant experience because my parcel was damaged.,Negative
06-04-2024 12:09,Diya Mammen,Counter_1,4,The staff was overwhelmed and could not assist me properly.,Neutral
06-04-2024 22:49,Ehsaan Dhaliwal,Counter_1,0,I found the service to be very satisfactory and reliable.,Positive
08-04-2024 00:23,Adira Jhaveri,Counter_3,4,The staff could be more helpful when answering questions.,Positive
08-04-2024 03:20,Manjari Sama,Counter_2,3,It was difficult to find the post office location.,Negative
11-04-2024 21:55,Kaira Bir,Counter_3,0,"The service was faster than expected, very happy with the experience.",Positive
12-04-2024 00:31,Mahika Bali,Counter_4,5,"I had to wait a long time, but the staff were polite.",Negative
12-04-2024 08:23,Jivin Deep,Counter_2,1,The self-service kiosks are a great addition.,Positive
12-04-2024 08:39,Eva Sekhon,Counter_4,5,The customer service line was very helpful in resolving my issue.,Positive
13-04-2024 21:18,Shanaya Mani,Counter_4,4,I was pleased with the way my parcel was packaged.,Positive
14-04-2024 18:30,Kabir Wason,Counter_3,0,The staff didn't seem to know how to handle my request.,Neutral
15-04-2024 07:21,Aarush Raval,Counter_1,3,The overall process felt too complicated and took too long.,Negative
15-04-2024 23:19,Taran Bhalla,Counter_1,0,I found the post office to be very convenient and efficient.,Positive
16-04-2024 04:54,Hrishita Lalla,Counter_2,4,The website could use some improvements to make it easier to navigate.,Neutral
16-04-2024 16:54,Damini Halder,Counter_4,0,There was no one available to assist with international shipments.,Positive
17-04-2024 02:51,Shayak Sane,Counter_3,1,"The counters were understaffed, causing delays.",Neutral
17-04-2024 07:34,Damini Varghese,Counter_3,0,The staff were welcoming and eager to help.,Neutral
17-04-2024 08:07,Faiyaz Thakur,Counter_4,5,The post office had a pleasant atmosphere and was easy to navigate.,Positive
17-04-2024 10:44,Keya Choudhury,Counter_3,4,I was impressed by the variety of services offered at the post office.,Positive
17-04-2024 22:36,Himmat Dyal,Counter_3,4,I experienced a lot of delays in receiving my mail.,Positive
18-04-2024 04:35,Nakul Upadhyay,Counter_4,1,The queue system could be improved to avoid confusion.,Neutral
21-04-2024 13:35,Jayan Hegde,Counter_4,5,I received quick and accurate assistance from the staff.,Positive
22-04-2024 04:30,Neysa Bhandari,Counter_2,3,"The overall experience was fine, but could use some improvements.",Positive
22-04-2024 12:50,Adah Dar,Counter_1,5,I was not satisfied with the quality of service received.,Negative
22-04-2024 23:44,Prisha Dhillon,Counter_3,1,I found the service to be very helpful and easy to use.,Positive
23-04-2024 04:40,Dhanush Date,Counter_2,3,There was no clear direction about the process for mailing packages.,Negative
23-04-2024 17:22,Mishti Dhaliwal,Counter_2,3,The post office was too crowded for comfort.,Neutral
24-04-2024 06:21,Shayak Bawa,Counter_2,3,I was able to send my package with ease and without any problems.,Positive
25-04-2024 13:54,Samar Behl,Counter_3,4,I was disappointed that the post office was closed during lunch hours.,Negative
26-04-2024 01:47,Baiju Taneja,Counter_1,2,"The service was average, with no major issues or highlights.",Negative
26-04-2024 02:42,Kiaan Johal,Counter_2,2,I would recommend the post office for its consistent service.,Positive
26-04-2024 19:41,Lagan Venkataraman,Counter_4,3,"The delivery was fast, but the staff could be more polite.",Positive
29-04-2024 06:05,Hridaan Barman,Counter_4,0,"I had a smooth and efficient experience, no issues at all.",Positive
01-05-2024 21:45,Shanaya Zacharia,Counter_4,5,The staff was quick to address my concerns and resolve the issue.,Positive
02-05-2024 03:13,Saira Shankar,Counter_2,2,The post office is easily accessible and located conveniently.,Positive
02-05-2024 05:25,Yuvaan Kata,Counter_1,0,I would like to see more staff available during peak hours.,Positive
02-05-2024 10:46,Tara Venkatesh,Counter_4,4,I was able to get all my work done without any issues.,Positive
03-05-2024 16:12,Onkar Dubey,Counter_2,5,The service could have been faster during my visit.,Neutral
04-05-2024 02:31,Urvi Yadav,Counter_4,4,"The experience was mostly positive, with a few small issues.",Negative
05-05-2024 03:05,Shray Basak,Counter_4,5,The staff was very courteous and helpful.,Positive
05-05-2024 06:23,Misha Ravi,Counter_1,2,"Service was fast and efficient, I'm impressed.",Positive
06-05-2024 01:06,Advika Kota,Counter_2,3,The post office is always clean and well-organized.,Positive
09-05-2024 02:32,Charvi Dhar,Counter_2,3,"I received my parcel earlier than expected, great job!",Positive
09-05-2024 05:39,Sana Shukla,Counter_1,3,The process for obtaining a new postal card was seamless.,Positive
10-05-2024 05:25,Ira Bhatt,Counter_3,2,The customer support team resolved my issue quickly.,Positive
12-05-2024 05:38,Shanaya Bassi,Counter_3,3,I appreciate the extended working hours on weekends.,Neutral
12-05-2024 17:23,Shayak Krishnamurthy,Counter_2,3,The staff was very polite and addressed all my queries.,Positive
13-05-2024 19:55,Vidur Dugar,Counter_3,4,I found the location very convenient and accessible.,Positive
14-05-2024 07:05,Zara Kade,Counter_3,0,Online tracking was accurate and easy to use.,Positive
14-05-2024 08:07,Kiaan Doctor,Counter_3,1,The queue was too long and moved very slowly.,Negative
15-05-2024 23:23,Parinaaz Dhaliwal,Counter_2,5,The staff was rude and unhelpful during my visit.,Negative
16-05-2024 12:28,Charvi Vig,Counter_4,0,"I had to wait weeks for my parcel, unacceptable!",Neutral
18-05-2024 14:12,Divit Bahri,Counter_1,2,The post office was messy and unorganized.,Negative
20-05-2024 08:14,Vanya Bir,Counter_3,0,There was no one to guide me when I needed help.,Neutral
24-05-2024 00:58,Vidur Randhawa,Counter_1,0,The online tracking system was not working properly.,Neutral
24-05-2024 06:09,Sahil Kota,Counter_4,3,I had to visit multiple times due to incomplete information.,Negative
24-05-2024 11:06,Yuvraj  Brar,Counter_4,1,The customer service team was unresponsive to my complaints.,Neutral
25-05-2024 03:45,Tejas Sharaf,Counter_3,2,The counters were closed even during working hours.,Negative
25-05-2024 12:15,Kismat Bajaj,Counter_4,0,The staff did not know how to resolve my issue.,Neutral
25-05-2024 16:57,Tarini Rastogi,Counter_4,4,"The service was satisfactory, nothing exceptional.",Positive
27-05-2024 03:49,Hansh Khatri,Counter_3,5,It was a regular visit with no major issues.,Negative
27-05-2024 04:27,Hridaan Kamdar,Counter_3,1,"I got my work done, but it took some time.",Neutral
28-05-2024 21:23,Anaya Taneja,Counter_3,3,The staff was neither helpful nor unhelpful.,Neutral
30-05-2024 15:35,Rasha Saha,Counter_2,0,The post office was moderately busy during my visit.,Positive
31-05-2024 00:25,Fateh Guha,Counter_2,1,"The environment was average, with scope for improvement.",Negative
01-06-2024 13:04,Rhea Bava,Counter_4,1,Online services could be better but are manageable.,Positive
03-06-2024 20:44,Ivana Ganesan,Counter_3,2,I found the experience to be acceptable overall.,Neutral
03-06-2024 23:58,Vritika Sandhu,Counter_4,1,The speed of service was just about average.,Negative
05-06-2024 11:40,Vardaniya Goswami,Counter_3,4,"I had no strong feelings about the visit, it was okay.",Positive
05-06-2024 15:17,Yakshit Gola,Counter_2,2,The counters were well-staffed and quick to serve.,Positive
05-06-2024 15:43,Diya Dada,Counter_2,5,My package arrived on time with no issues.,Neutral
08-06-2024 05:25,Ira Zacharia,Counter_4,2,I had a smooth experience with sending a letter abroad.,Positive
08-06-2024 09:02,Shalv Mannan,Counter_3,1,The new digital services are very convenient.,Positive
08-06-2024 10:11,Jayan Rana,Counter_1,5,I was able to easily purchase stamps and send my parcel.,Positive
08-06-2024 17:50,Ira Johal,Counter_4,0,The staff at the counter were friendly and welcoming.,Positive
09-06-2024 06:26,Kismat Sani,Counter_4,1,It was easy to access the post office and park nearby.,Positive
09-06-2024 07:00,Mohanlal Chaudry,Counter_1,3,The self-service kiosk was quick and efficient.,Positive
09-06-2024 17:47,Ayesha Gole,Counter_3,4,My experience was very pleasant with no delays.,Positive
10-06-2024 05:41,Seher Uppal,Counter_1,4,The post office was clean and had clear signage.,Positive
11-06-2024 02:18,Renee Das,Counter_4,1,I received regular updates about my parcel status.,Neutral
11-06-2024 08:57,Jiya Khalsa,Counter_4,3,It was a bit difficult to find parking near the post office.,Negative
11-06-2024 10:12,Anika Kota,Counter_2,0,The staff took too long to process my request.,Negative
11-06-2024 19:31,Arhaan Chauhan,Counter_3,2,I had to wait a long time before I could speak to someone.,Negative
12-06-2024 00:00,Jhanvi Kuruvilla,Counter_1,2,The office was too noisy and chaotic during my visit.,Neutral
12-06-2024 21:25,Faiyaz Das,Counter_3,5,I was impressed by the professionalism of the staff.,Positive
13-06-2024 11:31,Stuvan Ghose,Counter_1,4,The location was a bit inconvenient to reach.,Negative
14-06-2024 17:22,Taran Viswanathan,Counter_2,3,"I had to fill out several forms, which took longer than expected.",Negative
16-06-2024 21:35,Gokul Choudhury,Counter_3,0,I wish the post office had more counters open during peak hours.,Positive
17-06-2024 07:30,Rasha Balay,Counter_2,0,The staff were knowledgeable and efficient in helping me.,Neutral
19-06-2024 06:05,Anaya Chaudhry,Counter_3,0,There was no clear signage to guide me inside.,Negative
19-06-2024 17:27,Miraan Date,Counter_4,3,The queue system was well-organized and easy to follow.,Positive
19-06-2024 23:37,Shray Raj,Counter_1,2,The office was too cold for comfort during my visit.,Negative
20-06-2024 12:22,Baiju Batra,Counter_2,3,The staff handled my issue with great care and attention.,Positive
21-06-2024 19:30,Rasha Hegde,Counter_3,2,I had difficulty understanding the online services.,Neutral
21-06-2024 19:33,Siya Ganesh,Counter_1,5,The transaction was completed swiftly with no delays.,Neutral
22-06-2024 10:50,Mishti Shenoy,Counter_2,2,I wasn�t able to send my package because the staff wasn�t available.,Positive
22-06-2024 21:52,Abram Soni,Counter_3,3,The waiting area was clean but lacked seating options.,Positive
24-06-2024 08:19,Divij Sahni,Counter_4,2,I encountered some technical issues while trying to send money.,Neutral
25-06-2024 01:10,Madhav Chaudhry,Counter_2,5,The staff was efficient but could have been friendlier.,Neutral
25-06-2024 11:31,Azad Keer,Counter_2,3,I appreciate the new digital systems that make my visits faster.,Positive
26-06-2024 08:27,Tara Gokhale,Counter_2,1,I had an unpleasant experience because my parcel was damaged.,Negative
27-06-2024 06:13,Aarna Sunder,Counter_2,2,The staff was overwhelmed and could not assist me properly.,Neutral
27-06-2024 08:44,Samiha Behl,Counter_3,2,I found the service to be very satisfactory and reliable.,Positive
28-06-2024 01:10,Kabir Khalsa,Counter_2,0,The staff could be more helpful when answering questions.,Positive
29-06-2024 04:53,Manjari Raju,Counter_3,0,It was difficult to find the post office location.,Negative
01-07-2024 13:05,Hansh Arora,Counter_3,5,"The service was faster than expected, very happy with the experience.",Positive
01-07-2024 21:35,Kanav Balakrishnan,Counter_2,5,"I had to wait a long time, but the staff were polite.",Negative
05-07-2024 08:02,Armaan Goyal,Counter_2,5,The self-service kiosks are a great addition.,Positive
06-07-2024 07:33,Anya Balakrishnan,Counter_2,3,The customer service line was very helpful in resolving my issue.,Positive
06-07-2024 20:45,Aniruddh Mander,Counter_2,4,I was pleased with the way my parcel was packaged.,Positive
06-07-2024 22:04,Vaibhav Borra,Counter_2,2,The staff didn't seem to know how to handle my request.,Neutral
08-07-2024 07:33,Adah Deo,Counter_2,0,The overall process felt too complicated and took too long.,Negative
09-07-2024 13:08,Tara Sood,Counter_1,3,I found the post office to be very convenient and efficient.,Positive
10-07-2024 00:10,Anya Desai,Counter_4,5,The website could use some improvements to make it easier to navigate.,Neutral
10-07-2024 09:10,Aarush Deshpande,Counter_2,0,There was no one available to assist with international shipments.,Positive
10-07-2024 21:45,Faiyaz Dutta,Counter_1,4,"The counters were understaffed, causing delays.",Neutral
10-07-2024 22:36,Tarini Bhatti,Counter_1,4,The staff were welcoming and eager to help.,Neutral
12-07-2024 00:09,Reyansh Subramaniam,Counter_2,0,The post office had a pleasant atmosphere and was easy to navigate.,Positive
12-07-2024 03:31,Mohanlal Aurora,Counter_4,0,I was impressed by the variety of services offered at the post office.,Positive
12-07-2024 06:30,Riya Bhatnagar,Counter_2,4,I experienced a lot of delays in receiving my mail.,Positive
